material1-Thickness,material1-Conductivity,material1-Density,material1-Specific Heat
0.5,0.1,500.0,1000.0
0.5,0.1,500.0,1100.0
0.5,0.1,500.0,1200.0
0.5,0.1,500.0,1300.0
0.5,0.1,500.0,1400.0
0.5,0.1,500.0,1500.0
0.5,0.1,500.0,1600.0
0.5,0.1,500.0,1700.0
0.5,0.1,500.0,1800.0
0.5,0.1,500.0,1900.0
0.5,0.1,500.0,2000.0
0.5,0.1,600.0,1000.0
0.5,0.1,600.0,1100.0
0.5,0.1,600.0,1200.0
0.5,0.1,600.0,1300.0
0.5,0.1,600.0,1400.0
0.5,0.1,600.0,1500.0
0.5,0.1,600.0,1600.0
0.5,0.1,600.0,1700.0
0.5,0.1,600.0,1800.0
0.5,0.1,600.0,1900.0
0.5,0.1,600.0,2000.0
0.5,0.1,700.0,1000.0
0.5,0.1,700.0,1100.0
0.5,0.1,700.0,1200.0
0.5,0.1,700.0,1300.0
0.5,0.1,700.0,1400.0
0.5,0.1,700.0,1500.0
0.5,0.1,700.0,1600.0
0.5,0.1,700.0,1700.0
0.5,0.1,700.0,1800.0
0.5,0.1,700.0,1900.0
0.5,0.1,700.0,2000.0
0.5,0.1,800.0,1000.0
0.5,0.1,800.0,1100.0
0.5,0.1,800.0,1200.0
0.5,0.1,800.0,1300.0
0.5,0.1,800.0,1400.0
0.5,0.1,800.0,1500.0
0.5,0.1,800.0,1600.0
0.5,0.1,800.0,1700.0
0.5,0.1,800.0,1800.0
0.5,0.1,800.0,1900.0
0.5,0.1,800.0,2000.0
0.5,0.1,900.0,1000.0
0.5,0.1,900.0,1100.0
0.5,0.1,900.0,1200.0
0.5,0.1,900.0,1300.0
0.5,0.1,900.0,1400.0
0.5,0.1,900.0,1500.0
0.5,0.1,900.0,1600.0
0.5,0.1,900.0,1700.0
0.5,0.1,900.0,1800.0
0.5,0.1,900.0,1900.0
0.5,0.1,900.0,2000.0
0.5,0.1,1000.0,1000.0
0.5,0.1,1000.0,1100.0
0.5,0.1,1000.0,1200.0
0.5,0.1,1000.0,1300.0
0.5,0.1,1000.0,1400.0
0.5,0.1,1000.0,1500.0
0.5,0.1,1000.0,1600.0
0.5,0.1,1000.0,1700.0
0.5,0.1,1000.0,1800.0
0.5,0.1,1000.0,1900.0
0.5,0.1,1000.0,2000.0
0.5,0.11,500.0,1000.0
0.5,0.11,500.0,1100.0
0.5,0.11,500.0,1200.0
0.5,0.11,500.0,1300.0
0.5,0.11,500.0,1400.0
0.5,0.11,500.0,1500.0
0.5,0.11,500.0,1600.0
0.5,0.11,500.0,1700.0
0.5,0.11,500.0,1800.0
0.5,0.11,500.0,1900.0
0.5,0.11,500.0,2000.0
0.5,0.11,600.0,1000.0
0.5,0.11,600.0,1100.0
0.5,0.11,600.0,1200.0
0.5,0.11,600.0,1300.0
0.5,0.11,600.0,1400.0
0.5,0.11,600.0,1500.0
0.5,0.11,600.0,1600.0
0.5,0.11,600.0,1700.0
0.5,0.11,600.0,1800.0
0.5,0.11,600.0,1900.0
0.5,0.11,600.0,2000.0
0.5,0.11,700.0,1000.0
0.5,0.11,700.0,1100.0
0.5,0.11,700.0,1200.0
0.5,0.11,700.0,1300.0
0.5,0.11,700.0,1400.0
0.5,0.11,700.0,1500.0
0.5,0.11,700.0,1600.0
0.5,0.11,700.0,1700.0
0.5,0.11,700.0,1800.0
0.5,0.11,700.0,1900.0
0.5,0.11,700.0,2000.0
0.5,0.11,800.0,1000.0
0.5,0.11,800.0,1100.0
0.5,0.11,800.0,1200.0
0.5,0.11,800.0,1300.0
0.5,0.11,800.0,1400.0
0.5,0.11,800.0,1500.0
0.5,0.11,800.0,1600.0
0.5,0.11,800.0,1700.0
0.5,0.11,800.0,1800.0
0.5,0.11,800.0,1900.0
0.5,0.11,800.0,2000.0
0.5,0.11,900.0,1000.0
0.5,0.11,900.0,1100.0
0.5,0.11,900.0,1200.0
0.5,0.11,900.0,1300.0
0.5,0.11,900.0,1400.0
0.5,0.11,900.0,1500.0
0.5,0.11,900.0,1600.0
0.5,0.11,900.0,1700.0
0.5,0.11,900.0,1800.0
0.5,0.11,900.0,1900.0
0.5,0.11,900.0,2000.0
0.5,0.11,1000.0,1000.0
0.5,0.11,1000.0,1100.0
0.5,0.11,1000.0,1200.0
0.5,0.11,1000.0,1300.0
0.5,0.11,1000.0,1400.0
0.5,0.11,1000.0,1500.0
0.5,0.11,1000.0,1600.0
0.5,0.11,1000.0,1700.0
0.5,0.11,1000.0,1800.0
0.5,0.11,1000.0,1900.0
0.5,0.11,1000.0,2000.0
0.5,0.12000000000000001,500.0,1000.0
0.5,0.12000000000000001,500.0,1100.0
0.5,0.12000000000000001,500.0,1200.0
0.5,0.12000000000000001,500.0,1300.0
0.5,0.12000000000000001,500.0,1400.0
0.5,0.12000000000000001,500.0,1500.0
0.5,0.12000000000000001,500.0,1600.0
0.5,0.12000000000000001,500.0,1700.0
0.5,0.12000000000000001,500.0,1800.0
0.5,0.12000000000000001,500.0,1900.0
0.5,0.12000000000000001,500.0,2000.0
0.5,0.12000000000000001,600.0,1000.0
0.5,0.12000000000000001,600.0,1100.0
0.5,0.12000000000000001,600.0,1200.0
0.5,0.12000000000000001,600.0,1300.0
0.5,0.12000000000000001,600.0,1400.0
0.5,0.12000000000000001,600.0,1500.0
0.5,0.12000000000000001,600.0,1600.0
0.5,0.12000000000000001,600.0,1700.0
0.5,0.12000000000000001,600.0,1800.0
0.5,0.12000000000000001,600.0,1900.0
0.5,0.12000000000000001,600.0,2000.0
0.5,0.12000000000000001,700.0,1000.0
0.5,0.12000000000000001,700.0,1100.0
0.5,0.12000000000000001,700.0,1200.0
0.5,0.12000000000000001,700.0,1300.0
0.5,0.12000000000000001,700.0,1400.0
0.5,0.12000000000000001,700.0,1500.0
0.5,0.12000000000000001,700.0,1600.0
0.5,0.12000000000000001,700.0,1700.0
0.5,0.12000000000000001,700.0,1800.0
0.5,0.12000000000000001,700.0,1900.0
0.5,0.12000000000000001,700.0,2000.0
0.5,0.12000000000000001,800.0,1000.0
0.5,0.12000000000000001,800.0,1100.0
0.5,0.12000000000000001,800.0,1200.0
0.5,0.12000000000000001,800.0,1300.0
0.5,0.12000000000000001,800.0,1400.0
0.5,0.12000000000000001,800.0,1500.0
0.5,0.12000000000000001,800.0,1600.0
0.5,0.12000000000000001,800.0,1700.0
0.5,0.12000000000000001,800.0,1800.0
0.5,0.12000000000000001,800.0,1900.0
0.5,0.12000000000000001,800.0,2000.0
0.5,0.12000000000000001,900.0,1000.0
0.5,0.12000000000000001,900.0,1100.0
0.5,0.12000000000000001,900.0,1200.0
0.5,0.12000000000000001,900.0,1300.0
0.5,0.12000000000000001,900.0,1400.0
0.5,0.12000000000000001,900.0,1500.0
0.5,0.12000000000000001,900.0,1600.0
0.5,0.12000000000000001,900.0,1700.0
0.5,0.12000000000000001,900.0,1800.0
0.5,0.12000000000000001,900.0,1900.0
0.5,0.12000000000000001,900.0,2000.0
0.5,0.12000000000000001,1000.0,1000.0
0.5,0.12000000000000001,1000.0,1100.0
0.5,0.12000000000000001,1000.0,1200.0
0.5,0.12000000000000001,1000.0,1300.0
0.5,0.12000000000000001,1000.0,1400.0
0.5,0.12000000000000001,1000.0,1500.0
0.5,0.12000000000000001,1000.0,1600.0
0.5,0.12000000000000001,1000.0,1700.0
0.5,0.12000000000000001,1000.0,1800.0
0.5,0.12000000000000001,1000.0,1900.0
0.5,0.12000000000000001,1000.0,2000.0
0.5,0.13,500.0,1000.0
0.5,0.13,500.0,1100.0
0.5,0.13,500.0,1200.0
0.5,0.13,500.0,1300.0
0.5,0.13,500.0,1400.0
0.5,0.13,500.0,1500.0
0.5,0.13,500.0,1600.0
0.5,0.13,500.0,1700.0
0.5,0.13,500.0,1800.0
0.5,0.13,500.0,1900.0
0.5,0.13,500.0,2000.0
0.5,0.13,600.0,1000.0
0.5,0.13,600.0,1100.0
0.5,0.13,600.0,1200.0
0.5,0.13,600.0,1300.0
0.5,0.13,600.0,1400.0
0.5,0.13,600.0,1500.0
0.5,0.13,600.0,1600.0
0.5,0.13,600.0,1700.0
0.5,0.13,600.0,1800.0
0.5,0.13,600.0,1900.0
0.5,0.13,600.0,2000.0
0.5,0.13,700.0,1000.0
0.5,0.13,700.0,1100.0
